,artist,track,track_pop,duration_ms,album_nm,album_dt
25020,Morgan Wallen,You Proof,87,157477,One Thing At A Time,2023-03-03
21,Ed Sheeran,Thinking out Loud,87,281560,x (Deluxe Edition),2014-06-21
3149,Journey,Don't Stop Believin',87,250986,Escape (Bonus Track Version),1981
25045,Noah Kahan,Dial Drunk,87,213817,Stick Season (We'll All Be Here Forever),2023-06-09
8549,Harry Styles,Sign of the Times,87,340706,Harry Styles,2017-05-12
11849,Lil Baby,Drip Too Hard (Lil Baby & Gunna),87,145542,Drip Harder,2018-10-05
4449,Foster The People,Pumped Up Kicks,87,239600,Torches,2011-05-23
27,Lady Gaga,Shallow,87,215733,A Star Is Born Soundtrack,2018-10-05
26499,SZA,Low,87,181080,SOS,2022-12-09
37149,FIFTY FIFTY,Cupid,87,174253,The Beginning: Cupid,2023-02-24
8599,Calvin Harris,Summer,87,222533,Motion,2014-10-31
27449,El Alfa,PLEBADA,87,221739,PLEBADA,2023-06-08
3499,Bruno Mars,Just the Way You Are,87,220734,Doo-Wops & Hooligans,2010-10-05
14399,Rihanna,Love On The Brain,87,224000,ANTI (Deluxe),2016-01-28
8199,Måneskin,Beggin',87,211560,Chosen,2017-12-08
14949,Joji,SLOW DANCING IN THE DARK,86,209273,BALLADS 1,2018-10-26
43999,Tito Double P,DEMBOW BÉLICO,86,126522,DEMBOW BÉLICO,2023-06-03
15549,Outkast,Hey Ya!,86,235213,Speakerboxxx/The Love Below,2003
15899,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,86,216933,Sweet Dreams (Are Made Of This),1983-01-04
25499,Drake,Spin Bout U,86,214588,Her Loss,2022-11-04
43349,Wesley Safadão,Covardia,86,150863,Covardia,2023-03-30
25799,NLE Choppa,SLUT ME OUT,86,123672,SLUT ME OUT,2022-04-22
37949,Hotel Ugly,Shut up My Moms Calling - (Sped Up),86,135529,Shut up My Moms Calling (Sped up),2022-09-14
36199,The Weeknd,Double Fantasy (with Future),86,268235,Double Fantasy,2023-04-21
32899,Taylor Swift,"You're On Your Own, Kid",86,194206,Midnights,2022-10-21
30899,Taylor Swift,Bejeweled,86,194165,Midnights,2022-10-21
29699,Odetari,LOOK DON’T TOUCH (feat. cade clair),86,138240,LOOK DON’T TOUCH (feat. cade clair),2023-05-17
29099,Metro Boomin,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",86,245240,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
28949,Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),86,260962,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023-05-19
28649,Metro Boomin,Hummingbird (Metro Boomin & James Blake),86,319493,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
28549,Post Malone,Mourning,86,147819,Mourning,2023-05-19
28149,Steve Lacy,Bad Habit,86,232114,Bad Habit,2022-06-29
39999,KAROL G,PROVENZA,86,207626,MAÑANA SERÁ BONITO,2023-02-24
16499,Kendrick Lamar,LOVE. FEAT. ZACARI.,86,213400,DAMN.,2017-04-14
40749,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",86,185538,UNFORGIVEN,2023-05-01
22999,One Direction,Story of My Life,86,245493,Midnight Memories (Deluxe),2013-11-25
19949,Britney Spears,Toxic,86,198800,In The Zone,2003-11-13
19049,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),86,205040,TESTING,2018-05-25
18799,Jhayco,No Me Conoce - Remix,86,309120,Famouz,2019-05-24
18199,Kendrick Lamar,Money Trees,86,386906,"good kid, m.A.A.d city",2012
17999,Bryson Tiller,Don't,86,198293,T R A P S O U L,2015-10-02
17949,Capital Cities,Safe And Sound,86,192789,In A Tidal Wave Of Mystery (Deluxe Edition),2013
17849,Usher,Yeah! (feat. Lil Jon & Ludacris),86,250373,Confessions (Expanded Edition),2004-03-23
43199,Junior H,El Hijo Mayor,86,196500,El Hijo Mayor,2022-05-20
13349,Lynyrd Skynyrd,Sweet Home Alabama,86,283800,Second Helping (Expanded Edition),1974-04-15
39349,Harry Styles,Matilda,86,245964,Harry's House,2022-05-20
9349,Train,"Hey, Soul Sister",86,216773,"Save Me, San Francisco (Golden Gate Edition)",2010-12-01
12799,Bad Bunny,Yonaguni,86,206710,Yonaguni,2021-06-04
45099,Tainy,MOJABI GHOST,86,232131,DATA,2023-06-29
11999,Avicii,Waiting For Love,86,230613,Stories,2015-10-02
36,XXXTENTACION,Jocelyn Flores,86,119133,17,2017-08-25
10499,Offset,Ric Flair Drip (with Metro Boomin),86,172800,Without Warning,2017-10-30
48,Marshmello,Happier,86,214289,Happier,2018-08-17
11599,Adele,Easy On Me,86,224694,30,2021-11-19
17,Billie Eilish,bad guy,86,194087,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
2849,Billie Eilish,when the party's over,86,196077,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
8649,XXXTENTACION,Everybody Dies In Their Nightmares,86,95466,17,2017-08-25
3549,Twenty One Pilots,Ride,86,214506,Blurryface,2015-05-15
12749,Dr. Dre,Still D.R.E.,86,270586,2001,1999-11-16
11499,Eminem,Love The Way You Lie,86,263373,Recovery,2010-06-18
44449,KAROL G,X SI VOLVEMOS,86,200120,MAÑANA SERÁ BONITO,2023-02-24
5999,Travis Scott,HIGHEST IN THE ROOM,86,175720,HIGHEST IN THE ROOM,2019-10-04
4099,Calvin Harris,This Is What You Came For,86,222160,This Is What You Came For,2016-04-29
5749,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),86,198081,Justice,2021-03-19
13099,Eminem,Godzilla (feat. Juice WRLD),86,210800,Music To Be Murdered By,2020-01-17
4949,Panic! At The Disco,High Hopes,86,190946,Pray for the Wicked,2018-06-22
46399,Grupo Firme,Qué Onda Perdida,86,239637,Qué Onda Perdida,2023-03-30
649,Halsey,Without Me,85,201660,Manic,2020-01-17
19449,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),85,291293,Whitney,1987-06-02
18849,Lady Gaga,Always Remember Us This Way,85,210200,A Star Is Born Soundtrack (Without Dialogue),2018-10-05
33449,Taylor Swift,Karma (feat. Ice Spice),85,201493,Midnights (The Til Dawn Edition),2023-05-26
33599,Jack Harlow,First Class,85,173947,Come Home The Kids Miss You,2022-05-06
34349,Metro Boomin,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",85,195386,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
25599,Toosii,Favorite Song,85,208630,Favorite Song,2023-02-17
10799,Pitbull,Timber (feat. Ke$ha),85,204160,Global Warming: Meltdown (Deluxe Version),2012
32249,Kanii,I Know - PR1SVX Edit,85,133829,I Know (PR1SVX Edit),2023-03-24
17799,Coldplay,My Universe,85,226198,Music Of The Spheres,2021-10-15
44,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),85,258342,The Heist,2012-10-09
10949,Ariana Grande,positions,85,172324,Positions,2020-10-30
17499,Bruno Mars,Talking to the Moon,85,217866,Doo-Wops & Hooligans,2010-10-05
42,Lil Uzi Vert,XO Tour Llif3,85,182706,Luv Is Rage 2,2017-08-25
16649,Sam Smith,Unholy (feat. Kim Petras),85,156943,Gloria,2023-01-27
16449,Pitbull,Time of Our Lives,85,229360,Globalization,2014-11-21
9649,MAGIC!,Rude,85,224840,Don't Kill the Magic,2014-06-25
31949,Metro Boomin,"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)",85,195320,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
849,Post Malone,Congratulations,85,220293,Stoney (Deluxe),2016-12-09
45949,Jimin,Set Me Free Pt.2,85,200929,Set Me Free Pt.2,2023-03-17
3899,Post Malone,Wow.,85,149546,Hollywood's Bleeding,2019-09-06
39649,La Adictiva,JGL,85,158093,JGL,2022-02-18
24549,Red Hot Chili Peppers,Can't Stop,85,269000,By the Way (Deluxe Edition),2002-07-09
46149,Bad Bunny,Tarot,85,237894,Un Verano Sin Ti,2022-05-06
28049,Yeat,Out thë way,85,150241,Lyfë,2022-09-09
26199,Lil Uzi Vert,Flooded The Face,85,192727,Pink Tape,2023-06-30
2599,Maroon 5,Sugar,85,235493,V,2014-09-02
2349,Lukas Graham,7 Years,85,237300,Lukas Graham,2016-04-01
47599,Chencho Corleone,Un Cigarrillo,85,184266,Un Cigarrillo,2023-05-04
4649,Danny Ocean,Me Rehúso,85,205714,54+1,2019-03-22
22449,Swedish House Mafia,Don't You Worry Child - Radio Edit,85,212862,Don't You Worry Child,2012-09-14
22399,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],85,248413,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2013-04-19
29799,Brent Faiyaz,JACKIE BROWN,85,169013,WASTELAND,2022-07-08
1799,Roddy Ricch,The Box,85,196652,Please Excuse Me for Being Antisocial,2019-12-06
1749,BTS,Dynamite,85,199053,BE,2020-11-20
1699,XXXTENTACION,Moonlight,85,135090,?,2018-03-16
31099,Naturelle,Falling Asleep,85,107245,Restful White Noise,2022-02-08
31649,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],85,207306,HEROES & VILLAINS,2022-12-02
45449,JISOO,FLOWER,85,173134,ME,2023-03-31
44349,Oscar Maydon,Los Collares,85,148793,Los Collares,2022-09-30
799,Post Malone,Better Now,85,231266,beerbongs & bentleys,2018-04-27
5399,DNCE,Cake By The Ocean,85,219146,DNCE,2016-11-18
49499,Kenshi Yonezu,KICK BACK,85,193495,KICK BACK,2022-10-12
36999,Ovy On The Drums,EL HECHIZO,85,167988,EL HECHIZO,2023-03-09
39499,Iniko,Jericho,85,158133,Jericho,2023-04-15
15249,J. Cole,MIDDLE CHILD,85,213593,MIDDLE CHILD,2019-01-23
36799,Grupo Marca Registrada,Di Que Si,85,190553,Di Que Si,2023-02-03
19,Dua Lipa,Don't Start Now,85,183290,Future Nostalgia,2020-03-27
15749,Bruno Mars,Leave The Door Open,85,242096,An Evening With Silk Sonic,2021-11-11
12549,Tate McRae,you broke me first,85,169265,you broke me first,2020-04-17
12999,Don Omar,Danza Kuduro,85,198773,Meet The Orphans,2010-01-01
38799,Bad Bunny,Party,85,227628,Un Verano Sin Ti,2022-05-06
38099,Kylie Minogue,Padam Padam,85,166266,Padam Padam,2023-05-18
12349,Backstreet Boys,I Want It That Way,85,213306,Millennium,1999-05-18
13699,Kings of Leon,Sex on Fire,85,203346,Only By The Night,2008-09-23
38699,Freddie Dredd,Limbo,84,169946,Freddie's Inferno,2022-08-11
2149,Shawn Mendes,Stitches,84,206880,Handwritten,2015-04-14
47749,keshi,UNDERSTAND,84,150519,GABRIEL,2022-03-25
37599,Peso Pluma,El Belicon,84,214397,El Belicón,2022-02-04
1549,24kGoldn,Mood (feat. iann dior),84,140533,El Dorado,2021-03-26
1349,Ariana Grande,"thank u, next",84,207320,"thank u, next",2019-02-08
25749,Morgan Wallen,Cowgirls (feat. ERNEST),84,181621,One Thing At A Time,2023-03-03
37349,Fuerza Regida,Mi Terre CLN,84,172056,Pa Que Hablen,2022-12-30
14999,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),84,191013,Save Your Tears (Remix),2021-04-23
5949,XXXTENTACION,Fuck Love (feat. Trippie Redd),84,146520,17,2017-08-25
12449,MKTO,Classic,84,175426,MKTO,2012
32349,Odetari,GOOD LOYAL THOTS,84,102556,GOOD LOYAL THOTS,2023-03-15
20149,Ariana Grande,Stuck with U (with Justin Bieber),84,228482,Stuck with U,2020-05-08
32,XXXTENTACION,SAD!,84,166605,?,2018-03-16
26599,Luke Combs,The Kind of Love We Make,84,224426,Growin' Up,2022-06-24
7099,Martin Garrix,In the Name of Love,84,195706,In the Name of Love,2016-07-29
4549,Powfu,death bed (coffee for your head),84,173333,death bed (coffee for your head),2020-02-08
38,Vance Joy,Riptide,84,204280,Dream Your Life Away (Special Edition),2014-09-09
38199,SZA,Open Arms (feat. Travis Scott),84,239613,SOS,2022-12-09
24849,Lil Baby,Yes Indeed,84,142273,Harder Than Ever,2018-05-18
22149,The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,84,191013,After Hours (Deluxe),2020-03-20
6499,Michael Jackson,Billie Jean,84,293826,Thriller 25 Super Deluxe Edition,2008-02-08
28249,Young Thug,Oh U Went (feat. Drake),84,185333,BUSINESS IS BUSINESS,2023-06-23
8699,XXXTENTACION,Look At Me!,84,126345,Look At Me!,2017-02-20
14049,Taylor Swift,Blank Space,84,231826,1989,2014-10-27
28499,Brent Faiyaz,ALL MINE,84,216062,WASTELAND,2022-07-08
2799,Twenty One Pilots,Heathens,84,195920,Heathens,2016-06-16
2699,5 Seconds of Summer,Youngblood,84,203417,Youngblood (Deluxe),2018-06-15
14349,Maroon 5,Animals,84,231013,V,2014-09-02
2549,Luis Fonsi,Despacito,84,229360,VIDA,2019-02-01
29149,Don Toliver,Private Landing (feat. Justin Bieber & Future),84,238253,Love Sick,2023-02-24
22949,Bruno Mars,Treasure,84,178560,Unorthodox Jukebox,2012-12-07
40849,Harry Styles,Keep Driving,84,140241,Harry's House,2022-05-20
33299,Kendrick Lamar,United In Grief,84,255377,Mr. Morale & The Big Steppers,2022-05-13
13,Shawn Mendes,Señorita,84,190799,Shawn Mendes (Deluxe),2019-06-19
7949,Jonas Brothers,Sucker,84,181026,Happiness Begins,2019-06-07
41199,Junior H,Los Botones Azules,84,135611,Mi Vida En Un Cigarro 2,2022-02-11
4599,Doja Cat,Kiss Me More (feat. SZA),84,208666,Planet Her,2021-06-25
6199,Anne-Marie,2002,84,186986,Speak Your Mind (Deluxe),2018-04-27
6949,Christina Perri,A Thousand Years,84,285120,A Thousand Years,2011-10-18
34949,Taylor Swift,Maroon,84,218270,Midnights,2022-10-21
18249,Fall Out Boy,Centuries,84,228360,American Beauty/American Psycho,2015-01-20
299,Justin Bieber,Sorry,84,200786,Purpose (Deluxe),2015-11-13
33799,Jack Black,Peaches,84,95440,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),2023-04-07
47,Dua Lipa,New Rules,84,209320,Dua Lipa (Deluxe),2017-06-02
5699,Khalid,Young Dumb & Broke,84,202546,American Teen,2017-04-27
16949,Imagine Dragons,Natural,84,189466,Origins (Deluxe),2018-11-09
11349,Lil Tecca,Ransom,84,131240,We Love You Tecca,2019-08-30
17549,Doja Cat,Need to Know,84,210560,Planet Her,2021-06-25
35699,Fuerza Regida,Billete Grande (En Vivo),84,163940,Billete Grande (En Vivo),2022-08-02
36849,Jaziel Avilez,Ando Enfocado,84,184106,Ando Enfocado,2022-11-18
16749,Daniel Caesar,Best Part (feat. H.E.R.),84,209831,Freudian,2017-08-25
43549,Harry Styles,Music For a Sushi Restaurant,84,193813,Harry's House,2022-05-20
16699,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),84,210960,The Papercut Chronicles II,2011-11-11
34699,Miley Cyrus,Jaded,84,185933,Endless Summer Vacation,2023-03-10
16549,Selena Gomez,Lose You To Love Me,84,206458,Rare,2020-01-10
25149,Morgan Wallen,Ain’t That Some,84,158003,One Thing At A Time,2023-03-03
34499,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),84,182906,Vegas (From the Original Motion Picture Soundtrack ELVIS),2022-05-06
45299,Dove Cameron,Boyfriend,84,153000,Boyfriend,2022-02-11
9249,Regard,Ride It,83,157605,Ride It,2019-07-26
37799,EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,83,162280,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
29749,Gunna,P power (feat. Drake),83,193346,DS4EVER,2022-01-13
6349,NF,Let You Down,83,212120,Perception,2017-10-06
29249,Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),83,216703,Pink Tape,2023-06-30
34999,Don Toliver,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",83,234693,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
17399,The Fray,How to Save a Life,83,262533,How To Save A Life,2005-09-13
43,Camila Cabello,Havana (feat. Young Thug),83,217306,Camila,2018-01-12
15799,Lorde,Royals,83,190185,Pure Heroine,2013-09-27
46449,Lizzo,About Damn Time,83,191822,About Damn Time,2022-04-14
2399,Jason Mraz,I'm Yours,83,242946,We Sing. We Dance. We Steal Things.,2008-05-12
19099,Kendrick Lamar,DNA.,83,185946,DAMN.,2017-04-14
29449,Lil Uzi Vert,Aye (feat. Travis Scott),83,207835,Pink Tape,2023-06-30
28599,Lil Uzi Vert,Suicide Doors,83,259079,Pink Tape,2023-06-30
23349,Kanye West,Gold Digger,83,207626,Late Registration,2005-08-30
35249,Offset,Danger (Spider) (Offset & JID),83,205266,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
36249,Peso Pluma,LADY GAGA,83,212878,GÉNESIS,2023-06-29
16099,Meek Mill,Going Bad (feat. Drake),83,180522,Championships,2018-11-30
26749,Morgan Wallen,One Thing At A Time,83,206864,One Thing At A Time,2023-03-03
7899,Bruno Mars,24K Magic,83,225983,24K Magic,2016-11-17
8099,Daddy Yankee,Con Calma,83,193226,Con Calma,2019-01-24
8149,Zara Larsson,Lush Life,83,201122,So Good,2017-03-17
44499,Chance Peña,In My Room,83,177609,In My Room,2022-05-06
27149,Bailey Zimmerman,Rock and A Hard Place,83,207540,Religiously. The Album.,2023-05-12
8499,Ed Sheeran,Castle on the Hill,83,261153,÷ (Deluxe),2017-03-03
47199,Rauw Alejandro,LOKERA,83,197101,SATURNO,2023-01-24
3699,Ava Max,Sweet but Psycho,83,187436,Heaven & Hell,2020-09-18
26099,Zach Bryan,Sun to Me,83,163031,American Heartbreak,2022-05-20
27649,Lil Durk,War Bout It (feat. 21 Savage),83,160202,Almost Healed,2023-05-26
5299,Marshmello,Silence,83,180822,Silence,2017-08-11
35299,Kendrick Lamar,N95,83,195950,Mr. Morale & The Big Steppers,2022-05-13
23699,Smash Mouth,All Star,83,200373,Astro Lounge,1999-06-08
2949,Post Malone,I Fall Apart,83,223346,Stoney (Deluxe),2016-12-09
10649,Maroon 5,She Will Be Loved - Radio Mix,83,259453,Songs About Jane: 10th Anniversary Edition,2002
28699,Future,PUFFIN ON ZOOTIEZ,83,172933,I NEVER LIKED YOU,2022-04-29
48799,The Weeknd,Out of Time,83,214193,Dawn FM,2022-01-06
41749,JVKE,this is what falling in love feels like,83,120308,this is what ____ feels like (Vol. 1-4),2022-09-23
9399,Ed Sheeran,Galway Girl,83,170826,÷ (Deluxe),2017-03-03
43899,The Kid LAROI,Love Again,83,146640,Love Again,2023-01-27
32699,Ice Spice,In Ha Mood,83,129360,In Ha Mood,2023-01-06
19999,Kodaline,All I Want,83,305746,In A Perfect World (Expanded Edition),2013-06-17
1449,Lil Nas X,MONTERO (Call Me By Your Name),83,137704,MONTERO,2021-09-17
32399,SZA,Shirt,83,181840,SOS,2022-12-09
32199,Baby Keem,The Hillbillies,83,204800,The Hillbillies,2023-06-05
4499,Dua Lipa,IDGAF,83,217946,Dua Lipa (Deluxe),2017-06-02
42799,Bad Bunny,Después de la Playa,83,230400,Un Verano Sin Ti,2022-05-06
9949,Axwell /\ Ingrosso,More Than You Know,83,203000,More Than You Know,2017-07-28
45399,Peso Pluma,77,83,215745,77,2023-05-05
5449,Zedd,The Middle,83,184732,The Middle,2018-01-23
48299,Junior H,Vamos Para Arriba,83,172227,Vamos Para Arriba,2022-06-03
33099,Lyrical Lemonade,Doomsday (with Juice WRLD & Cordae),83,150967,Doomsday,2023-06-23
41499,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",83,244684,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23
42849,ATEEZ,BOUNCY (K-HOT CHILLI PEPPERS),83,187310,THE WORLD EP.2 : OUTLAW,2023-06-16
19149,Lil Peep,Falling Down - Bonus Track,83,196400,"Come Over When You're Sober, Pt. 2",2018-11-09
20049,Joji,Glimpse of Us,83,233456,SMITHEREENS,2022-11-04
19249,Ali Gatie,It's You,83,212606,YOU,2019-11-08
15449,Calum Scott,Dancing On My Own,83,260285,Only Human (Deluxe),2018-03-09
27599,Zach Bryan,"Burn, Burn, Burn",82,268856,"Burn, Burn, Burn",2022-09-08
39749,Suki Waterhouse,Good Looking,82,214800,Good Looking,2022-08-18
27899,Bailey Zimmerman,Religiously,82,178723,Religiously. The Album.,2023-05-12
27799,Old Dominion,Memory Lane,82,172480,Memory Lane,2023-01-05
49349,Fuerza Regida,911 - En Vivo,82,175423,911 (En Vivo),2022-11-30
27699,Zach Bryan,Oklahoma Smokeshow,82,211739,Summertime Blues,2022-07-15
24499,Red Hot Chili Peppers,Snow (Hey Oh),82,334666,Stadium Arcadium,2006-05-09
27849,Cole Swindell,She Had Me At Heads Carolina,82,206106,Stereotype,2022-04-08
44899,Beyoncé,AMERICA HAS A PROBLEM,82,198897,RENAISSANCE,2022-07-29
21849,Coldplay,Adventure of a Lifetime,82,263786,A Head Full of Dreams,2015-12-04
549,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),82,212352,MONTERO,2021-09-17
18699,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),82,190476,Shoot For The Stars Aim For The Moon,2020-07-03
33499,Lijay,I love freaks,82,101198,I love freaks,2023-01-30
32849,Bad Omens,Just Pretend,82,204676,THE DEATH OF PEACE OF MIND,2022-02-25
19699,Calvin Harris,How Deep Is Your Love,82,212640,How Deep Is Your Love,2015-07-17
3799,Cardi B,I Like It,82,253390,Invasion of Privacy,2018-04-06
26999,Morgan Wallen,Thought You Should Know,82,215571,One Thing At A Time,2023-03-03
32999,Nicki Minaj,Red Ruby Da Sleeze,82,214445,Red Ruby Da Sleeze,2023-03-03
7849,Selena Gomez,Wolves,82,197993,Wolves,2017-10-25
6699,Dynoro,In My Mind,82,184560,In My Mind,2018-06-08
44199,Taylor Swift,The Great War,82,240355,Midnights (3am Edition),2022-10-22
45899,Grupo Frontera,Le Va Doler,82,153645,Le Va Doler,2023-05-25
